matchId,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamDragonKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamFirstBlood_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueWin
EUW1_6882489515,-4,-11,-12,2,0,-2,0,6,-400,294,-29531,-8690,2559,1
EUW1_6882416210,-4,20,-5,1,0,0,0,6,-373,272,-28872,-2468,-6055,0
EUW1_6881092720,-1,-222,-5,-1,0,-2,0,8,-340,247,-30414,-1338,-13483,0
EUW1_6879405717,3,5,-2,-1,1,1,0,4,-377,268,-25073,-3736,2237,0
EUW1_6879389461,-4,4,4,0,1,0,0,2,-382,274,-25952,-1703,11821,1
EUW1_6879371828,1,-9,-12,-2,-1,-3,0,13,-357,299,-28288,-6411,-4095,0
EUW1_6878383684,0,-106,6,2,0,0,0,5,-403,235,-28488,-2114,-988,1
EUW1_6878298308,0,7,6,1,0,0,0,6,-358,292,-24001,-1501,7191,1
EUW1_6878182424,0,7,-4,-1,0,1,0,5,-396,315,-26382,-2714,4607,1
EUW1_6878139143,-3,6,-1,-1,1,0,0,7,-381,226,-28710,-3153,-6836,0
EUW1_6878103014,-2,-5,-1,-2,-1,1,0,-2,-356,262,-28922,-2453,-5716,1
EUW1_6878057215,-3,-8,-4,-2,0,-1,0,7,-424,210,-28824,-7784,-4560,0
EUW1_6878033584,-2,-5,-7,-2,0,-1,0,10,-392,295,-29171,-4593,5110,0
EUW1_6878003846,2,3,6,2,0,-1,0,5,-349,306,-25872,4259,6895,1
EUW1_6877975035,1,2,1,0,1,0,0,2,-383,299,-26060,-1060,10976,1
EUW1_6875344552,2,-5,-19,-2,0,-2,0,8,-370,245,-33394,-6247,-15794,0
EUW1_6875306770,-4,-1,-9,-2,0,-1,0,7,-377,289,-29988,-5822,-6215,0
EUW1_6875259973,-2,20,6,1,0,-1,0,2,-319,215,-29239,38,-3306,0
EUW1_6875217596,-1,8,4,0,1,1,0,3,-350,304,-22591,-1187,13327,1
EUW1_6875197822,2,6,-3,-2,0,1,0,3,-355,278,-27372,-1411,-2456,0
EUW1_6879360874,-4,-5,-11,-2,0,-1,0,9,-365,274,-30646,-4149,-8893,0
EUW1_6869300631,-1,239,-4,2,0,0,0,7,-365,283,-26650,-5310,-1833,0
EUW1_6869276441,0,-4,-9,-2,0,0,0,6,-345,281,-28863,-3558,-3530,0
EUW1_6869246594,1,-71,-9,-1,0,0,0,5,-337,287,-30981,144,-17747,0
EUW1_6829920333,1,1,17,0,0,-1,0,3,-328,319,-24440,5526,11129,1
EUW1_6882482484,0,-8,7,2,0,2,0,1,-342,291,-25928,2006,-7261,1
EUW1_6882456043,-4,-12,18,2,1,2,0,2,-327,295,-20377,3542,14485,1
EUW1_6882436994,6,-122,3,-2,0,-1,0,1,-300,284,-27299,404,-8148,1
EUW1_6882425551,0,-244,14,1,1,-1,0,4,-292,253,-24062,5683,2361,1
EUW1_6880935420,1,-17,5,-1,0,3,0,-2,-301,333,-23604,4265,8947,1
EUW1_6880909380,2,-13,8,2,0,1,0,5,-339,262,-27235,3291,1321,1
EUW1_6880890229,-3,-3,5,-2,0,-3,0,13,-341,234,-28951,-1381,-2479,0
EUW1_6879474161,1,-7,-11,-2,0,-3,0,11,-390,248,-31227,-6472,-3477,0
EUW1_6879450066,1,19,7,0,0,1,0,4,-345,324,-23258,-495,2379,1
EUW1_6879424931,3,-36,2,-2,0,1,0,3,-362,270,-27347,56,-3972,0
EUW1_6879325614,2,15,-5,0,0,-1,0,11,-300,258,-28449,-3164,-6341,0
EUW1_6879310911,2,-8,-13,-1,0,-3,0,16,-361,244,-35201,-5029,-19054,0
EUW1_6878006751,3,-4,-5,-2,0,0,0,7,-349,226,-30425,-2295,-9569,0
EUW1_6877969177,1,10,0,-2,1,1,0,-2,-349,294,-26037,890,4558,0
EUW1_6877956644,-1,-5,-2,0,0,1,0,7,-354,275,-25734,-3179,-3209,1
EUW1_6877891153,0,-7,-6,0,0,1,0,6,-353,239,-28259,-5362,-6427,0
EUW1_6877879899,3,-4,1,-1,1,0,0,-1,-303,266,-28009,1046,-3279,0
