matchId,blueTeamDragonKills,blueTeamFirstBlood,redTeamDragonKills,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueTeamTotalDamageToChamps_diff,blueWin
EUW1_6882489515,2,0,0,-4,-11,-12,0,-2,0,-6,-12,12,-5714,-2815,-5397,1
EUW1_6882416210,1,0,0,-4,20,-5,0,0,0,-6,-25,22,-1118,210,-768,0
EUW1_6881092720,0,0,1,-1,-222,-5,0,-2,0,-8,-9,12,-2384,37,-4945,0
EUW1_6879405717,0,1,1,3,5,-2,1,1,0,-4,-23,-3,2176,-603,3109,0
EUW1_6879389461,1,0,1,-4,4,4,1,0,0,-2,-12,4,1720,1591,7431,1
EUW1_6879371828,0,0,2,1,-9,-12,-1,-3,0,-13,12,10,-4357,-3550,-8553,0
EUW1_6878383684,2,0,0,0,-106,6,0,0,0,-5,-72,0,-867,744,-306,1
EUW1_6878298308,1,1,0,0,7,6,0,0,0,-6,33,4,3729,1870,30,1
EUW1_6878182424,0,1,1,0,7,-4,0,1,0,-5,6,0,869,345,6062,1
EUW1_6878139143,0,0,1,-3,6,-1,1,0,0,-7,-67,8,-586,-1124,-5197,0
EUW1_6878103014,0,1,2,-2,-5,-1,-1,1,0,2,-18,17,295,-1467,7301,1
EUW1_6878057215,0,0,2,-3,-8,-4,0,-1,0,-7,-110,-9,-5305,-2939,-10425,0
EUW1_6878033584,0,0,2,-2,-5,-7,0,-1,0,-10,5,-21,-4224,377,-771,0
EUW1_6878003846,2,0,0,2,3,6,0,-1,0,-5,39,22,4877,5348,7594,1
EUW1_6877975035,1,1,1,1,2,1,1,0,0,-2,11,29,2116,3463,-499,1
EUW1_6875344552,0,0,2,2,-5,-19,0,-2,0,-8,-30,-26,-7743,-5640,-11490,0
EUW1_6875306770,0,1,2,-4,-1,-9,0,-1,0,-7,10,-18,-3948,-3772,-8293,0
EUW1_6875259973,1,1,0,-2,20,6,0,-1,0,-2,-5,-27,262,-394,11648,0
EUW1_6875217596,1,1,1,-1,8,4,1,1,0,-3,45,20,4129,3912,9783,1
EUW1_6875197822,0,1,2,2,6,-3,0,1,0,-3,9,5,531,421,-3739,0
EUW1_6879360874,0,0,2,-4,-5,-11,0,-1,0,-9,-5,12,-2235,-2392,-10214,0
EUW1_6869300631,2,1,0,-1,239,-4,0,0,0,-7,6,8,-1749,-1229,-8343,0
EUW1_6869276441,0,0,2,0,-4,-9,0,0,0,-6,28,11,-2370,-1026,-3414,0
EUW1_6869246594,0,0,1,1,-71,-9,0,0,0,-5,46,-6,-830,766,-15072,0
EUW1_6829920333,0,1,0,1,1,17,0,-1,0,-3,66,24,9447,5610,23389,1
EUW1_6882482484,2,1,0,0,-8,7,0,2,0,-1,42,-13,4737,2565,1290,1
EUW1_6882456043,2,1,0,-4,-12,18,1,2,0,-2,63,-13,9227,5747,11697,1
EUW1_6882436994,0,1,2,6,-122,3,0,-1,0,-1,58,5,2410,1572,-2460,1
EUW1_6882425551,1,1,0,0,-244,14,1,-1,0,-4,39,29,6768,6977,13180,1
EUW1_6880935420,0,1,1,1,-17,5,0,3,0,2,111,18,6960,4816,11757,1
